competition,season,team,players,minutes,Distance,Running,High Speed Running,Sprinting,No. of High Intensity Runs,No. of High Intensity Runs OTIP,No. of High Intensity Runs TIP,No. of High Intensity Runs BOP,games
Superliga,2023,AGF,15.3125,1099.1713541666666,118726.06875,17693.1965625,6451.57,2040.9978125,732.8125,386.46875,316.21875,30.125,32
Superliga,2023,BIF,15.15625,1089.284375,114540.1915625,16761.82125,6317.4684375,2232.3303125,749.5625,387.78125,335.8125,25.96875,32
Superliga,2023,FCK,15.545454545454545,1108.660101010101,120435.50424242424,18886.65696969697,7010.505454545454,1950.0466666666666,766.4242424242424,396.8787878787879,342.1818181818182,27.363636363636363,33
Superliga,2023,FCM,15.875,1099.88125,113821.801875,16944.950937499998,6819.7853125,2364.875,799.96875,453.65625,315.84375,30.46875,32
Superliga,2023,FCN,15.5,1093.1255208333334,119897.1796875,18748.7315625,7026.0615625,2235.63375,794.0,391.84375,378.8125,23.34375,32
Superliga,2023,HVI,15.3125,1082.6494791666667,113214.896875,16700.7003125,6427.1578125,1661.394375,704.28125,423.46875,260.34375,20.46875,32
Superliga,2023,LBK,15.34375,1086.7385416666666,112047.1753125,16321.2328125,5963.464375,1713.0609375,682.0,366.90625,286.375,28.71875,32
Superliga,2023,OB,15.625,1098.6723958333332,115758.623125,16842.145,6106.42625,1739.178125,698.875,379.875,296.46875,22.53125,32
Superliga,2023,RFC,15.606060606060606,1080.4565656565655,112916.55030303031,16785.186363636363,6029.133333333333,1851.1815151515152,703.3939393939394,381.09090909090907,293.24242424242425,29.060606060606062,33
Superliga,2023,SIF,15.53125,1081.8833333333332,118984.8025,17105.363125,6385.915625,2035.398125,741.5,352.3125,367.78125,21.40625,32
Superliga,2023,VB,15.6875,1087.4692708333332,109078.861875,14994.729375,5547.1790625,1807.401875,658.25,373.46875,259.875,24.90625,32
Superliga,2023,VFF,15.625,1094.4697916666667,113555.6153125,17220.4796875,6223.5225,1871.3778125,699.21875,366.0625,310.25,22.90625,32
