team,Distance_per90,Running_per90,High Speed Running_per90,Sprinting_per90,No. of High Intensity Runs_per90,No. of High Intensity Runs OTIP_per90,No. of High Intensity Runs TIP_per90,No. of High Intensity Runs BOP_per90,games
AAB,9750.970295332752,1598.6205000977036,662.5150340413279,247.0440861361029,93.7092256434025,48.067198624315516,40.63626441465914,5.00576260442786,18
ACH,9435.720268063404,1461.7308916596717,602.2784951730599,225.27087602321083,82.41245419842214,42.50108220121294,34.942361829924444,4.969010167284751,17
ARF,9813.212318423975,1530.7406487210083,651.5415859740737,284.34936263684915,97.68082626649576,48.708288355774904,43.97445427737384,4.998083633347011,16
B93,10184.946549211985,1731.5336605149932,726.6185859749448,295.9084421562529,105.75223457893394,54.89656981575633,45.842118524935614,5.013546238241999,17
EFB,9848.945002708359,1558.0345869733653,704.8230407142698,320.3151950997847,102.80185250167477,53.69909524543762,43.689654526253946,5.413102729983204,17
HBK,9669.28863993007,1502.6919140887007,648.7897335689976,254.0592649894138,91.6727930680004,51.291414962752164,34.65982987527215,5.721548229976083,18
HIK,9729.742578982872,1465.0091211633903,571.229688492319,228.76513852358477,82.54393523483178,44.13743681436152,33.677509111695194,4.728989308775065,16
HIL,10130.48867027154,1645.3129351284035,626.6447462604084,215.68771707535203,87.68720989092417,46.70845035731652,36.72349502037884,4.2552645132287985,18
HVI,9757.858047631482,1495.6443783211307,645.797294669599,255.42334898942062,89.38876851553653,48.65187821735307,35.589161249544105,5.147729048639335,17
KIF,10299.88114680585,1789.513409009449,760.9991130525526,321.0844586426473,112.32302793139637,55.2390375740247,50.72762339573066,6.3563669616410055,16
LBK,9955.397842351087,1628.7865331207486,689.0708671870135,299.4084827667974,102.95936280481904,52.80909578897612,44.109610843436165,6.040656172406742,16
MID,9756.160420546708,1529.0573546776243,651.1359424267263,269.1048128339708,93.51797949459447,52.30289725857315,36.800856826890055,4.414225409131263,18
